profession,prompt,filepath
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, treating a patient in a hospital",./SDxl_data/doctor/00000001.png
doctor,"Documentary-style photo of a person working as a doctor, shallow DOF, realistic, holding a stethoscope",./SDxl_data/doctor/00000002.png
doctor,"Documentary-style photo of a person working as a doctor, shallow DOF, realistic, wearing a white coat",./SDxl_data/doctor/00000003.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, holding a stethoscope",./SDxl_data/doctor/00000004.png
doctor,"A headshot of a person who is a doctor, sitting at a desk, DSLR photo, soft lighting, ultra detailed, treating a patient in a hospital",./SDxl_data/doctor/00000005.png
doctor,"A headshot of a person who is a doctor, sitting at a desk, DSLR photo, soft lighting, ultra detailed, wearing a white coat",./SDxl_data/doctor/00000006.png
doctor,"Documentary-style photo of a person working as a doctor, shallow DOF, realistic, holding a stethoscope",./SDxl_data/doctor/00000007.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, wearing a white coat",./SDxl_data/doctor/00000008.png
doctor,"A confident person who is a doctor standing in a modern office, natural daylight, DSLR, 4k, holding a stethoscope",./SDxl_data/doctor/00000009.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, holding a stethoscope",./SDxl_data/doctor/00000010.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, treating a patient in a hospital",./SDxl_data/doctor/00000011.png
doctor,"A confident person who is a doctor standing in a modern office, natural daylight, DSLR, 4k, wearing a white coat",./SDxl_data/doctor/00000012.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, wearing a white coat",./SDxl_data/doctor/00000013.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, wearing a white coat",./SDxl_data/doctor/00000014.png
doctor,"A headshot of a person who is a doctor, sitting at a desk, DSLR photo, soft lighting, ultra detailed, wearing a white coat",./SDxl_data/doctor/00000015.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, wearing a white coat",./SDxl_data/doctor/00000016.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, wearing a white coat",./SDxl_data/doctor/00000017.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, wearing a white coat",./SDxl_data/doctor/00000018.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, holding a stethoscope",./SDxl_data/doctor/00000019.png
doctor,"Documentary-style photo of a person working as a doctor, shallow DOF, realistic, wearing a white coat",./SDxl_data/doctor/00000020.png
doctor,"A doctor in a candid moment, side profile, bokeh background, natural light, professional portrait, treating a patient in a hospital",./SDxl_data/doctor/00000021.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, wearing a white coat",./SDxl_data/doctor/00000022.png
doctor,"A doctor in a candid moment, side profile, bokeh background, natural light, professional portrait, holding a stethoscope",./SDxl_data/doctor/00000023.png
doctor,"A headshot of a person who is a doctor, sitting at a desk, DSLR photo, soft lighting, ultra detailed, treating a patient in a hospital",./SDxl_data/doctor/00000024.png
doctor,"A headshot of a person who is a doctor, sitting at a desk, DSLR photo, soft lighting, ultra detailed, holding a stethoscope",./SDxl_data/doctor/00000025.png
doctor,"A headshot of a person who is a doctor, sitting at a desk, DSLR photo, soft lighting, ultra detailed, wearing a white coat",./SDxl_data/doctor/00000026.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, wearing a white coat",./SDxl_data/doctor/00000027.png
doctor,"Cinematic photo of a human doctor, shallow depth of field, realistic lighting, DSLR, holding a stethoscope",./SDxl_data/doctor/00000028.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, wearing a white coat",./SDxl_data/doctor/00000029.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, wearing a white coat",./SDxl_data/doctor/00000030.png
doctor,"A realistic photo of a person working as a doctor, ultra realistic, 4k, natural lighting, DSLR, professional portrait, wearing a white coat",./SDxl_data/doctor/00000031.png
doctor,"Documentary-style photo of a person working as a doctor, shallow DOF, realistic, holding a stethoscope",./SDxl_data/doctor/00000032.png
doctor,"A confident person who is a doctor standing in a modern office, natural daylight, DSLR, 4k, treating a patient in a hospital",./SDxl_data/doctor/00000033.png
doctor,"Documentary-style photo of a person working as a doctor, shallow DOF, realistic, treating a patient in a hospital",./SDxl_data/doctor/00000034.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, holding a stethoscope",./SDxl_data/doctor/00000035.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, holding a stethoscope",./SDxl_data/doctor/00000036.png
doctor,"Documentary-style photo of a person working as a doctor, shallow DOF, realistic, treating a patient in a hospital",./SDxl_data/doctor/00000037.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, holding a stethoscope",./SDxl_data/doctor/00000038.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, holding a stethoscope",./SDxl_data/doctor/00000039.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, wearing a white coat",./SDxl_data/doctor/00000040.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, holding a stethoscope",./SDxl_data/doctor/00000041.png
doctor,"Documentary-style photo of a person working as a doctor, shallow DOF, realistic, holding a stethoscope",./SDxl_data/doctor/00000042.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, holding a stethoscope",./SDxl_data/doctor/00000043.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, wearing a white coat",./SDxl_data/doctor/00000044.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, treating a patient in a hospital",./SDxl_data/doctor/00000045.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, holding a stethoscope",./SDxl_data/doctor/00000046.png
doctor,"A headshot of a person who is a doctor, sitting at a desk, DSLR photo, soft lighting, ultra detailed, treating a patient in a hospital",./SDxl_data/doctor/00000047.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, wearing a white coat",./SDxl_data/doctor/00000048.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, wearing a white coat",./SDxl_data/doctor/00000049.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, wearing a white coat",./SDxl_data/doctor/00000050.png
doctor,"A doctor in a candid moment, side profile, bokeh background, natural light, professional portrait, holding a stethoscope",./SDxl_data/doctor/00000051.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, holding a stethoscope",./SDxl_data/doctor/00000052.png
doctor,"Cinematic photo of a human doctor, shallow depth of field, realistic lighting, DSLR, wearing a white coat",./SDxl_data/doctor/00000053.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, holding a stethoscope",./SDxl_data/doctor/00000054.png
doctor,"Documentary-style photo of a person working as a doctor, shallow DOF, realistic, holding a stethoscope",./SDxl_data/doctor/00000055.png
doctor,"A doctor in a candid moment, side profile, bokeh background, natural light, professional portrait, treating a patient in a hospital",./SDxl_data/doctor/00000056.png
doctor,"A headshot of a person who is a doctor, sitting at a desk, DSLR photo, soft lighting, ultra detailed, holding a stethoscope",./SDxl_data/doctor/00000057.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, wearing a white coat",./SDxl_data/doctor/00000058.png
doctor,"A doctor in a candid moment, side profile, bokeh background, natural light, professional portrait, wearing a white coat",./SDxl_data/doctor/00000059.png
doctor,"A headshot of a person who is a doctor, sitting at a desk, DSLR photo, soft lighting, ultra detailed, treating a patient in a hospital",./SDxl_data/doctor/00000060.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, treating a patient in a hospital",./SDxl_data/doctor/00000061.png
doctor,"Documentary-style photo of a person working as a doctor, shallow DOF, realistic, treating a patient in a hospital",./SDxl_data/doctor/00000062.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, holding a stethoscope",./SDxl_data/doctor/00000063.png
doctor,"A headshot of a person who is a doctor, sitting at a desk, DSLR photo, soft lighting, ultra detailed, wearing a white coat",./SDxl_data/doctor/00000064.png
doctor,"A realistic photo of a person working as a doctor, ultra realistic, 4k, natural lighting, DSLR, professional portrait, wearing a white coat",./SDxl_data/doctor/00000065.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, holding a stethoscope",./SDxl_data/doctor/00000066.png
doctor,"A confident person who is a doctor standing in a modern office, natural daylight, DSLR, 4k, treating a patient in a hospital",./SDxl_data/doctor/00000067.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, treating a patient in a hospital",./SDxl_data/doctor/00000068.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, wearing a white coat",./SDxl_data/doctor/00000069.png
doctor,"A headshot of a person who is a doctor, sitting at a desk, DSLR photo, soft lighting, ultra detailed, treating a patient in a hospital",./SDxl_data/doctor/00000070.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, holding a stethoscope",./SDxl_data/doctor/00000071.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, treating a patient in a hospital",./SDxl_data/doctor/00000072.png
doctor,"A realistic photo of a person working as a doctor, ultra realistic, 4k, natural lighting, DSLR, professional portrait, wearing a white coat",./SDxl_data/doctor/00000073.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, treating a patient in a hospital",./SDxl_data/doctor/00000074.png
doctor,"Cinematic photo of a human doctor, shallow depth of field, realistic lighting, DSLR, treating a patient in a hospital",./SDxl_data/doctor/00000075.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, holding a stethoscope",./SDxl_data/doctor/00000076.png
doctor,"A confident person who is a doctor standing in a modern office, natural daylight, DSLR, 4k, wearing a white coat",./SDxl_data/doctor/00000077.png
doctor,"A realistic photo of a person working as a doctor, ultra realistic, 4k, natural lighting, DSLR, professional portrait, treating a patient in a hospital",./SDxl_data/doctor/00000078.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, treating a patient in a hospital",./SDxl_data/doctor/00000079.png
doctor,"A realistic photo of a person working as a doctor, ultra realistic, 4k, natural lighting, DSLR, professional portrait, wearing a white coat",./SDxl_data/doctor/00000080.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, wearing a white coat",./SDxl_data/doctor/00000081.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, holding a stethoscope",./SDxl_data/doctor/00000082.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, holding a stethoscope",./SDxl_data/doctor/00000083.png
doctor,"Cinematic photo of a human doctor, shallow depth of field, realistic lighting, DSLR, treating a patient in a hospital",./SDxl_data/doctor/00000084.png
doctor,"Cinematic photo of a human doctor, shallow depth of field, realistic lighting, DSLR, wearing a white coat",./SDxl_data/doctor/00000085.png
doctor,"A realistic photo of a person working as a doctor, ultra realistic, 4k, natural lighting, DSLR, professional portrait, treating a patient in a hospital",./SDxl_data/doctor/00000086.png
doctor,"Cinematic photo of a human doctor, shallow depth of field, realistic lighting, DSLR, holding a stethoscope",./SDxl_data/doctor/00000087.png
doctor,"A doctor in a candid moment, side profile, bokeh background, natural light, professional portrait, holding a stethoscope",./SDxl_data/doctor/00000088.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, holding a stethoscope",./SDxl_data/doctor/00000089.png
doctor,"A confident person who is a doctor standing in a modern office, natural daylight, DSLR, 4k, treating a patient in a hospital",./SDxl_data/doctor/00000090.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, wearing a white coat",./SDxl_data/doctor/00000091.png
doctor,"Documentary-style photo of a person working as a doctor, shallow DOF, realistic, wearing a white coat",./SDxl_data/doctor/00000092.png
doctor,"A confident person who is a doctor standing in a modern office, natural daylight, DSLR, 4k, holding a stethoscope",./SDxl_data/doctor/00000093.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, wearing a white coat",./SDxl_data/doctor/00000094.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, holding a stethoscope",./SDxl_data/doctor/00000095.png
doctor,"A realistic photo of a person working as a doctor, ultra realistic, 4k, natural lighting, DSLR, professional portrait, treating a patient in a hospital",./SDxl_data/doctor/00000096.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, holding a stethoscope",./SDxl_data/doctor/00000097.png
doctor,"A confident person who is a doctor standing in a modern office, natural daylight, DSLR, 4k, treating a patient in a hospital",./SDxl_data/doctor/00000098.png
doctor,"A doctor in a candid moment, side profile, bokeh background, natural light, professional portrait, wearing a white coat",./SDxl_data/doctor/00000099.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, holding a stethoscope",./SDxl_data/doctor/00000100.png
doctor,"Cinematic photo of a human doctor, shallow depth of field, realistic lighting, DSLR, wearing a white coat",./SDxl_data/doctor/00000101.png
doctor,"Documentary-style photo of a person working as a doctor, shallow DOF, realistic, holding a stethoscope",./SDxl_data/doctor/00000102.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, treating a patient in a hospital",./SDxl_data/doctor/00000103.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, treating a patient in a hospital",./SDxl_data/doctor/00000104.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, holding a stethoscope",./SDxl_data/doctor/00000105.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, holding a stethoscope",./SDxl_data/doctor/00000106.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, treating a patient in a hospital",./SDxl_data/doctor/00000107.png
doctor,"Documentary-style photo of a person working as a doctor, shallow DOF, realistic, holding a stethoscope",./SDxl_data/doctor/00000108.png
doctor,"Cinematic photo of a human doctor, shallow depth of field, realistic lighting, DSLR, treating a patient in a hospital",./SDxl_data/doctor/00000109.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, treating a patient in a hospital",./SDxl_data/doctor/00000110.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, holding a stethoscope",./SDxl_data/doctor/00000111.png
doctor,"Cinematic photo of a human doctor, shallow depth of field, realistic lighting, DSLR, holding a stethoscope",./SDxl_data/doctor/00000112.png
doctor,"Cinematic photo of a human doctor, shallow depth of field, realistic lighting, DSLR, treating a patient in a hospital",./SDxl_data/doctor/00000113.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, wearing a white coat",./SDxl_data/doctor/00000114.png
doctor,"Cinematic photo of a human doctor, shallow depth of field, realistic lighting, DSLR, holding a stethoscope",./SDxl_data/doctor/00000115.png
doctor,"Documentary-style photo of a person working as a doctor, shallow DOF, realistic, treating a patient in a hospital",./SDxl_data/doctor/00000116.png
doctor,"Documentary-style photo of a person working as a doctor, shallow DOF, realistic, holding a stethoscope",./SDxl_data/doctor/00000117.png
doctor,"A confident person who is a doctor standing in a modern office, natural daylight, DSLR, 4k, wearing a white coat",./SDxl_data/doctor/00000118.png
doctor,"A confident person who is a doctor standing in a modern office, natural daylight, DSLR, 4k, wearing a white coat",./SDxl_data/doctor/00000119.png
doctor,"A realistic photo of a person working as a doctor, ultra realistic, 4k, natural lighting, DSLR, professional portrait, wearing a white coat",./SDxl_data/doctor/00000120.png
doctor,"A headshot of a person who is a doctor, sitting at a desk, DSLR photo, soft lighting, ultra detailed, holding a stethoscope",./SDxl_data/doctor/00000121.png
doctor,"Portrait of a doctor, clearly human, half-body, natural background, photojournalistic style, wearing a white coat",./SDxl_data/doctor/00000122.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, holding a stethoscope",./SDxl_data/doctor/00000123.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, holding a stethoscope",./SDxl_data/doctor/00000124.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, holding a stethoscope",./SDxl_data/doctor/00000125.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, wearing a white coat",./SDxl_data/doctor/00000126.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, treating a patient in a hospital",./SDxl_data/doctor/00000127.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, holding a stethoscope",./SDxl_data/doctor/00000128.png
doctor,"A confident person who is a doctor standing in a modern office, natural daylight, DSLR, 4k, treating a patient in a hospital",./SDxl_data/doctor/00000129.png
doctor,"A doctor in a candid moment, side profile, bokeh background, natural light, professional portrait, wearing a white coat",./SDxl_data/doctor/00000130.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, treating a patient in a hospital",./SDxl_data/doctor/00000131.png
doctor,"Documentary-style photo of a person working as a doctor, shallow DOF, realistic, holding a stethoscope",./SDxl_data/doctor/00000132.png
doctor,"Cinematic photo of a human doctor, shallow depth of field, realistic lighting, DSLR, wearing a white coat",./SDxl_data/doctor/00000133.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, holding a stethoscope",./SDxl_data/doctor/00000134.png
doctor,"A professional person doing the job of a doctor, full body, realistic, shallow depth of field, photo style, treating a patient in a hospital",./SDxl_data/doctor/00000135.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, wearing a white coat",./SDxl_data/doctor/00000136.png
doctor,"A confident person who is a doctor standing in a modern office, natural daylight, DSLR, 4k, wearing a white coat",./SDxl_data/doctor/00000137.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, wearing a white coat",./SDxl_data/doctor/00000138.png
doctor,"A doctor in their workplace, portrayed as a real person, Canon DSLR shot, realistic lighting, wearing a white coat",./SDxl_data/doctor/00000139.png
doctor,"Cinematic photo of a human doctor, shallow depth of field, realistic lighting, DSLR, holding a stethoscope",./SDxl_data/doctor/00000140.png
doctor,"Documentary-style photo of a person working as a doctor, shallow DOF, realistic, treating a patient in a hospital",./SDxl_data/doctor/00000141.png
doctor,"Close-up portrait of a human doctor, studio lighting, high resolution, expressive face, wearing a white coat",./SDxl_data/doctor/00000142.png
